"BEZNAME","BEZNR","time","warning_level"
"Bezirk Affoltern",101,"2026-07-22","0"
"Bezirk Affoltern",101,"2026-07-23","0"
"Bezirk Affoltern",101,"2026-07-24","0"
"Bezirk Affoltern",101,"2026-07-25","1"
"Bezirk Affoltern",101,"2026-07-26","0"
"Bezirk Andelfingen",102,"2026-07-22","0"
"Bezirk Andelfingen",102,"2026-07-23","0"
"Bezirk Andelfingen",102,"2026-07-24","0"
"Bezirk Andelfingen",102,"2026-07-25","1"
"Bezirk Andelfingen",102,"2026-07-26","0"
"Bezirk Bülach",103,"2026-07-22","0"
"Bezirk Bülach",103,"2026-07-23","0"
"Bezirk Bülach",103,"2026-07-24","0"
"Bezirk Bülach",103,"2026-07-25","1"
"Bezirk Bülach",103,"2026-07-26","1"
"Bezirk Dielsdorf",104,"2026-07-22","0"
"Bezirk Dielsdorf",104,"2026-07-23","0"
"Bezirk Dielsdorf",104,"2026-07-24","0"
"Bezirk Dielsdorf",104,"2026-07-25","0"
"Bezirk Dielsdorf",104,"2026-07-26","0"
"Bezirk Hinwil",105,"2026-07-22","0"
"Bezirk Hinwil",105,"2026-07-23","0"
"Bezirk Hinwil",105,"2026-07-24","0"
"Bezirk Hinwil",105,"2026-07-25","1"
"Bezirk Hinwil",105,"2026-07-26","0"
"Bezirk Horgen",106,"2026-07-22","0"
"Bezirk Horgen",106,"2026-07-23","0"
"Bezirk Horgen",106,"2026-07-24","0"
"Bezirk Horgen",106,"2026-07-25","1"
"Bezirk Horgen",106,"2026-07-26","0"
"Bezirk Meilen",107,"2026-07-22","0"
"Bezirk Meilen",107,"2026-07-23","0"
"Bezirk Meilen",107,"2026-07-24","0"
"Bezirk Meilen",107,"2026-07-25","1"
"Bezirk Meilen",107,"2026-07-26","0"
"Bezirk Pfäffikon",108,"2026-07-22","0"
"Bezirk Pfäffikon",108,"2026-07-23","0"
"Bezirk Pfäffikon",108,"2026-07-24","0"
"Bezirk Pfäffikon",108,"2026-07-25","1"
"Bezirk Pfäffikon",108,"2026-07-26","0"
"Bezirk Uster",109,"2026-07-22","0"
"Bezirk Uster",109,"2026-07-23","0"
"Bezirk Uster",109,"2026-07-24","0"
"Bezirk Uster",109,"2026-07-25","0"
"Bezirk Uster",109,"2026-07-26","0"
"Bezirk Winterthur",110,"2026-07-22","0"
"Bezirk Winterthur",110,"2026-07-23","0"
"Bezirk Winterthur",110,"2026-07-24","0"
"Bezirk Winterthur",110,"2026-07-25","0"
"Bezirk Winterthur",110,"2026-07-26","0"
"Bezirk Dietikon",111,"2026-07-22","0"
"Bezirk Dietikon",111,"2026-07-23","0"
"Bezirk Dietikon",111,"2026-07-24","0"
"Bezirk Dietikon",111,"2026-07-25","0"
"Bezirk Dietikon",111,"2026-07-26","0"
"Bezirk Zürich",112,"2026-07-22","0"
"Bezirk Zürich",112,"2026-07-23","0"
"Bezirk Zürich",112,"2026-07-24","0"
"Bezirk Zürich",112,"2026-07-25","1"
"Bezirk Zürich",112,"2026-07-26","0"
"Arrondissement administratif Jura bernois",241,"2026-07-22","0"
"Arrondissement administratif Jura bernois",241,"2026-07-23","0"
"Arrondissement administratif Jura bernois",241,"2026-07-24","0"
"Arrondissement administratif Jura bernois",241,"2026-07-25","1"
"Arrondissement administratif Jura bernois",241,"2026-07-26","0"
"Verwaltungskreis Biel/Bienne",242,"2026-07-22","0"
"Verwaltungskreis Biel/Bienne",242,"2026-07-23","0"
"Verwaltungskreis Biel/Bienne",242,"2026-07-24","0"
"Verwaltungskreis Biel/Bienne",242,"2026-07-25","0"
"Verwaltungskreis Biel/Bienne",242,"2026-07-26","0"
"Verwaltungskreis Seeland",243,"2026-07-22","0"
"Verwaltungskreis Seeland",243,"2026-07-23","0"
"Verwaltungskreis Seeland",243,"2026-07-24","0"
"Verwaltungskreis Seeland",243,"2026-07-25","1"
"Verwaltungskreis Seeland",243,"2026-07-26","0"
"Verwaltungskreis Oberaargau",244,"2026-07-22","0"
"Verwaltungskreis Oberaargau",244,"2026-07-23","0"
"Verwaltungskreis Oberaargau",244,"2026-07-24","0"
"Verwaltungskreis Oberaargau",244,"2026-07-25","1"
"Verwaltungskreis Oberaargau",244,"2026-07-26","0"
"Verwaltungskreis Emmental",245,"2026-07-22","0"
"Verwaltungskreis Emmental",245,"2026-07-23","0"
"Verwaltungskreis Emmental",245,"2026-07-24","0"
"Verwaltungskreis Emmental",245,"2026-07-25","1"
"Verwaltungskreis Emmental",245,"2026-07-26","0"
"Verwaltungskreis Bern-Mittelland",246,"2026-07-22","0"
"Verwaltungskreis Bern-Mittelland",246,"2026-07-23","0"
"Verwaltungskreis Bern-Mittelland",246,"2026-07-24","0"
"Verwaltungskreis Bern-Mittelland",246,"2026-07-25","1"
"Verwaltungskreis Bern-Mittelland",246,"2026-07-26","0"
"Verwaltungskreis Thun",247,"2026-07-22","0"
"Verwaltungskreis Thun",247,"2026-07-23","0"
"Verwaltungskreis Thun",247,"2026-07-24","0"
"Verwaltungskreis Thun",247,"2026-07-25","1"
"Verwaltungskreis Thun",247,"2026-07-26","0"
"Verwaltungskreis Obersimmental-Saanen",248,"2026-07-22","0"
"Verwaltungskreis Obersimmental-Saanen",248,"2026-07-23","0"
"Verwaltungskreis Obersimmental-Saanen",248,"2026-07-24","0"
"Verwaltungskreis Obersimmental-Saanen",248,"2026-07-25","0"
"Verwaltungskreis Obersimmental-Saanen",248,"2026-07-26","0"
"Verwaltungskreis Frutigen-Niedersimmental",249,"2026-07-22","0"
"Verwaltungskreis Frutigen-Niedersimmental",249,"2026-07-23","0"
"Verwaltungskreis Frutigen-Niedersimmental",249,"2026-07-24","0"
"Verwaltungskreis Frutigen-Niedersimmental",249,"2026-07-25","0"
"Verwaltungskreis Frutigen-Niedersimmental",249,"2026-07-26","0"
"Verwaltungskreis Interlaken-Oberhasli",250,"2026-07-22","0"
"Verwaltungskreis Interlaken-Oberhasli",250,"2026-07-23","0"
"Verwaltungskreis Interlaken-Oberhasli",250,"2026-07-24","0"
"Verwaltungskreis Interlaken-Oberhasli",250,"2026-07-25","2"
"Verwaltungskreis Interlaken-Oberhasli",250,"2026-07-26","0"
"Wahlkreis Luzern-Stadt",311,"2026-07-22","0"
"Wahlkreis Luzern-Stadt",311,"2026-07-23","0"
"Wahlkreis Luzern-Stadt",311,"2026-07-24","0"
"Wahlkreis Luzern-Stadt",311,"2026-07-25","0"
"Wahlkreis Luzern-Stadt",311,"2026-07-26","0"
"Wahlkreis Luzern-Land",312,"2026-07-22","0"
"Wahlkreis Luzern-Land",312,"2026-07-23","0"
"Wahlkreis Luzern-Land",312,"2026-07-24","0"
"Wahlkreis Luzern-Land",312,"2026-07-25","1"
"Wahlkreis Luzern-Land",312,"2026-07-26","0"
"Wahlkreis Hochdorf",313,"2026-07-22","0"
"Wahlkreis Hochdorf",313,"2026-07-23","0"
"Wahlkreis Hochdorf",313,"2026-07-24","0"
"Wahlkreis Hochdorf",313,"2026-07-25","0"
"Wahlkreis Hochdorf",313,"2026-07-26","0"
"Wahlkreis Sursee",314,"2026-07-22","0"
"Wahlkreis Sursee",314,"2026-07-23","0"
"Wahlkreis Sursee",314,"2026-07-24","0"
"Wahlkreis Sursee",314,"2026-07-25","1"
"Wahlkreis Sursee",314,"2026-07-26","0"
"Wahlkreis Willisau",315,"2026-07-22","0"
"Wahlkreis Willisau",315,"2026-07-23","0"
"Wahlkreis Willisau",315,"2026-07-24","0"
"Wahlkreis Willisau",315,"2026-07-25","1"
"Wahlkreis Willisau",315,"2026-07-26","0"
"Wahlkreis Entlebuch",316,"2026-07-22","0"
"Wahlkreis Entlebuch",316,"2026-07-23","0"
"Wahlkreis Entlebuch",316,"2026-07-24","0"
"Wahlkreis Entlebuch",316,"2026-07-25","0"
"Wahlkreis Entlebuch",316,"2026-07-26","0"
"Kanton Uri",400,"2026-07-22","0"
"Kanton Uri",400,"2026-07-23","0"
"Kanton Uri",400,"2026-07-24","0"
"Kanton Uri",400,"2026-07-25","0"
"Kanton Uri",400,"2026-07-26","0"
"Bezirk Einsiedeln",501,"2026-07-22","1"
"Bezirk Einsiedeln",501,"2026-07-23","1"
"Bezirk Einsiedeln",501,"2026-07-24","2"
"Bezirk Einsiedeln",501,"2026-07-25","3"
"Bezirk Einsiedeln",501,"2026-07-26","2"
"Bezirk Gersau",502,"2026-07-22","1"
"Bezirk Gersau",502,"2026-07-23","1"
"Bezirk Gersau",502,"2026-07-24","2"
"Bezirk Gersau",502,"2026-07-25","2"
"Bezirk Gersau",502,"2026-07-26","1"
"Bezirk Höfe",503,"2026-07-22","0"
"Bezirk Höfe",503,"2026-07-23","0"
"Bezirk Höfe",503,"2026-07-24","0"
"Bezirk Höfe",503,"2026-07-25","2"
"Bezirk Höfe",503,"2026-07-26","1"
"Bezirk Küssnacht (SZ)",504,"2026-07-22","0"
"Bezirk Küssnacht (SZ)",504,"2026-07-23","0"
"Bezirk Küssnacht (SZ)",504,"2026-07-24","1"
"Bezirk Küssnacht (SZ)",504,"2026-07-25","2"
"Bezirk Küssnacht (SZ)",504,"2026-07-26","1"
"Bezirk March",505,"2026-07-22","0"
"Bezirk March",505,"2026-07-23","0"
"Bezirk March",505,"2026-07-24","0"
"Bezirk March",505,"2026-07-25","2"
"Bezirk March",505,"2026-07-26","0"
"Bezirk Schwyz",506,"2026-07-22","0"
"Bezirk Schwyz",506,"2026-07-23","0"
"Bezirk Schwyz",506,"2026-07-24","0"
"Bezirk Schwyz",506,"2026-07-25","2"
"Bezirk Schwyz",506,"2026-07-26","0"
"Kanton Obwalden",600,"2026-07-22","0"
"Kanton Obwalden",600,"2026-07-23","0"
"Kanton Obwalden",600,"2026-07-24","0"
"Kanton Obwalden",600,"2026-07-25","2"
"Kanton Obwalden",600,"2026-07-26","0"
"Kanton Nidwalden",700,"2026-07-22","0"
"Kanton Nidwalden",700,"2026-07-23","0"
"Kanton Nidwalden",700,"2026-07-24","0"
"Kanton Nidwalden",700,"2026-07-25","1"
"Kanton Nidwalden",700,"2026-07-26","0"
"Kanton Glarus",800,"2026-07-22","0"
"Kanton Glarus",800,"2026-07-23","0"
"Kanton Glarus",800,"2026-07-24","1"
"Kanton Glarus",800,"2026-07-25","2"
"Kanton Glarus",800,"2026-07-26","1"
"Kanton Zug",900,"2026-07-22","0"
"Kanton Zug",900,"2026-07-23","0"
"Kanton Zug",900,"2026-07-24","0"
"Kanton Zug",900,"2026-07-25","2"
"Kanton Zug",900,"2026-07-26","0"
"District de la Broye",1001,"2026-07-22","0"
"District de la Broye",1001,"2026-07-23","0"
"District de la Broye",1001,"2026-07-24","1"
"District de la Broye",1001,"2026-07-25","2"
"District de la Broye",1001,"2026-07-26","1"
"District de la Glâne",1002,"2026-07-22","0"
"District de la Glâne",1002,"2026-07-23","0"
"District de la Glâne",1002,"2026-07-24","0"
"District de la Glâne",1002,"2026-07-25","2"
"District de la Glâne",1002,"2026-07-26","0"
"District de la Gruyère",1003,"2026-07-22","0"
"District de la Gruyère",1003,"2026-07-23","0"
"District de la Gruyère",1003,"2026-07-24","0"
"District de la Gruyère",1003,"2026-07-25","1"
"District de la Gruyère",1003,"2026-07-26","0"
"District de la Sarine",1004,"2026-07-22","0"
"District de la Sarine",1004,"2026-07-23","0"
"District de la Sarine",1004,"2026-07-24","0"
"District de la Sarine",1004,"2026-07-25","1"
"District de la Sarine",1004,"2026-07-26","0"
"Bezirk See / District du Lac",1005,"2026-07-22","0"
"Bezirk See / District du Lac",1005,"2026-07-23","0"
"Bezirk See / District du Lac",1005,"2026-07-24","0"
"Bezirk See / District du Lac",1005,"2026-07-25","1"
"Bezirk See / District du Lac",1005,"2026-07-26","0"
"Bezirk Sense",1006,"2026-07-22","0"
"Bezirk Sense",1006,"2026-07-23","0"
"Bezirk Sense",1006,"2026-07-24","0"
"Bezirk Sense",1006,"2026-07-25","1"
"Bezirk Sense",1006,"2026-07-26","0"
"District de la Veveyse",1007,"2026-07-22","0"
"District de la Veveyse",1007,"2026-07-23","0"
"District de la Veveyse",1007,"2026-07-24","0"
"District de la Veveyse",1007,"2026-07-25","1"
"District de la Veveyse",1007,"2026-07-26","0"
"Bezirk Gäu",1101,"2026-07-22","0"
"Bezirk Gäu",1101,"2026-07-23","0"
"Bezirk Gäu",1101,"2026-07-24","1"
"Bezirk Gäu",1101,"2026-07-25","2"
"Bezirk Gäu",1101,"2026-07-26","0"
"Bezirk Thal",1102,"2026-07-22","0"
"Bezirk Thal",1102,"2026-07-23","0"
"Bezirk Thal",1102,"2026-07-24","0"
"Bezirk Thal",1102,"2026-07-25","2"
"Bezirk Thal",1102,"2026-07-26","0"
"Bezirk Bucheggberg",1103,"2026-07-22","0"
"Bezirk Bucheggberg",1103,"2026-07-23","1"
"Bezirk Bucheggberg",1103,"2026-07-24","1"
"Bezirk Bucheggberg",1103,"2026-07-25","2"
"Bezirk Bucheggberg",1103,"2026-07-26","0"
"Bezirk Dorneck",1104,"2026-07-22","0"
"Bezirk Dorneck",1104,"2026-07-23","0"
"Bezirk Dorneck",1104,"2026-07-24","0"
"Bezirk Dorneck",1104,"2026-07-25","2"
"Bezirk Dorneck",1104,"2026-07-26","1"
"Bezirk Gösgen",1105,"2026-07-22","0"
"Bezirk Gösgen",1105,"2026-07-23","0"
"Bezirk Gösgen",1105,"2026-07-24","0"
"Bezirk Gösgen",1105,"2026-07-25","0"
"Bezirk Gösgen",1105,"2026-07-26","0"
"Bezirk Wasseramt",1106,"2026-07-22","0"
"Bezirk Wasseramt",1106,"2026-07-23","0"
"Bezirk Wasseramt",1106,"2026-07-24","0"
"Bezirk Wasseramt",1106,"2026-07-25","1"
"Bezirk Wasseramt",1106,"2026-07-26","0"
"Bezirk Lebern",1107,"2026-07-22","0"
"Bezirk Lebern",1107,"2026-07-23","0"
"Bezirk Lebern",1107,"2026-07-24","0"
"Bezirk Lebern",1107,"2026-07-25","2"
"Bezirk Lebern",1107,"2026-07-26","0"
"Bezirk Olten",1108,"2026-07-22","0"
"Bezirk Olten",1108,"2026-07-23","0"
"Bezirk Olten",1108,"2026-07-24","0"
"Bezirk Olten",1108,"2026-07-25","1"
"Bezirk Olten",1108,"2026-07-26","0"
"Bezirk Solothurn",1109,"2026-07-22","0"
"Bezirk Solothurn",1109,"2026-07-23","0"
"Bezirk Solothurn",1109,"2026-07-24","1"
"Bezirk Solothurn",1109,"2026-07-25","2"
"Bezirk Solothurn",1109,"2026-07-26","0"
"Bezirk Thierstein",1110,"2026-07-22","0"
"Bezirk Thierstein",1110,"2026-07-23","0"
"Bezirk Thierstein",1110,"2026-07-24","0"
"Bezirk Thierstein",1110,"2026-07-25","2"
"Bezirk Thierstein",1110,"2026-07-26","1"
"Kanton Basel-Stadt",1200,"2026-07-22","0"
"Kanton Basel-Stadt",1200,"2026-07-23","0"
"Kanton Basel-Stadt",1200,"2026-07-24","0"
"Kanton Basel-Stadt",1200,"2026-07-25","2"
"Kanton Basel-Stadt",1200,"2026-07-26","1"
"Bezirk Arlesheim",1301,"2026-07-22","0"
"Bezirk Arlesheim",1301,"2026-07-23","0"
"Bezirk Arlesheim",1301,"2026-07-24","0"
"Bezirk Arlesheim",1301,"2026-07-25","1"
"Bezirk Arlesheim",1301,"2026-07-26","0"
"Bezirk Laufen",1302,"2026-07-22","0"
"Bezirk Laufen",1302,"2026-07-23","0"
"Bezirk Laufen",1302,"2026-07-24","0"
"Bezirk Laufen",1302,"2026-07-25","0"
"Bezirk Laufen",1302,"2026-07-26","0"
"Bezirk Liestal",1303,"2026-07-22","0"
"Bezirk Liestal",1303,"2026-07-23","0"
"Bezirk Liestal",1303,"2026-07-24","0"
