"","BEZNAME","BEZNR","time","mean_value"
"1","District de Monthey",2308,"2026-06-17",18.3936901092529
"2","District de Monthey",2308,"2026-06-18",20.9021854400635
"3","District de Monthey",2308,"2026-06-19",22.4853229522705
"4","District de Monthey",2308,"2026-06-20",20.5342292785645
"5","District de Monthey",2308,"2026-06-21",22.5025634765625
"6","Bezirk Mittelland",1502,"2026-06-17",18.4363021850586
"7","Bezirk Mittelland",1502,"2026-06-18",20.6448040008545
"8","Bezirk Mittelland",1502,"2026-06-19",22.2700271606445
"9","Bezirk Mittelland",1502,"2026-06-20",21.6814060211182
"10","Bezirk Mittelland",1502,"2026-06-21",22.9136352539062
"11","Bezirk Brig",2301,"2026-06-17",13.2236108779907
"12","Bezirk Brig",2301,"2026-06-18",15.2329893112183
"13","Bezirk Brig",2301,"2026-06-19",16.8268661499023
"14","Bezirk Brig",2301,"2026-06-20",15.5153932571411
"15","Bezirk Brig",2301,"2026-06-21",16.4203968048096
"16","District de la Sarine",1004,"2026-06-17",19.9240055084229
"17","District de la Sarine",1004,"2026-06-18",22.8896636962891
"18","District de la Sarine",1004,"2026-06-19",23.7187633514404
"19","District de la Sarine",1004,"2026-06-20",22.4315719604492
"20","District de la Sarine",1004,"2026-06-21",23.1383228302002
"21","Bezirk Pfäffikon",108,"2026-06-17",20.992395401001
"22","Bezirk Pfäffikon",108,"2026-06-18",22.8296089172363
"23","Bezirk Pfäffikon",108,"2026-06-19",24.9329738616943
"24","Bezirk Pfäffikon",108,"2026-06-20",23.5115013122559
"25","Bezirk Pfäffikon",108,"2026-06-21",24.4842929840088
"26","Bezirk Bülach",103,"2026-06-17",21.0562438964844
"27","Bezirk Bülach",103,"2026-06-18",22.9292602539062
"28","Bezirk Bülach",103,"2026-06-19",25.2342929840088
"29","Bezirk Bülach",103,"2026-06-20",23.743968963623
"30","Bezirk Bülach",103,"2026-06-21",24.6554489135742
"31","Bezirk Baden",1902,"2026-06-17",21.045316696167
"32","Bezirk Baden",1902,"2026-06-18",22.9720287322998
"33","Bezirk Baden",1902,"2026-06-19",25.2500095367432
"34","Bezirk Baden",1902,"2026-06-20",23.5137710571289
"35","Bezirk Baden",1902,"2026-06-21",25.2968692779541
"36","Bezirk Hinwil",105,"2026-06-17",21.0715637207031
"37","Bezirk Hinwil",105,"2026-06-18",23.0447864532471
"38","Bezirk Hinwil",105,"2026-06-19",25.2166748046875
"39","Bezirk Hinwil",105,"2026-06-20",24.2992572784424
"40","Bezirk Hinwil",105,"2026-06-21",25.7076873779297
"41","Bezirk Bremgarten",1903,"2026-06-17",21.3011703491211
"42","Bezirk Bremgarten",1903,"2026-06-18",23.4325923919678
"43","Bezirk Bremgarten",1903,"2026-06-19",25.5640888214111
"44","Bezirk Bremgarten",1903,"2026-06-20",23.8343505859375
"45","Bezirk Bremgarten",1903,"2026-06-21",25.2414817810059
"46","Bezirk Kulm",1905,"2026-06-17",21.0698089599609
"47","Bezirk Kulm",1905,"2026-06-18",23.4752521514893
"48","Bezirk Kulm",1905,"2026-06-19",25.330436706543
"49","Bezirk Kulm",1905,"2026-06-20",23.3358516693115
"50","Bezirk Kulm",1905,"2026-06-21",24.71435546875
"51","Bezirk Laufenburg",1906,"2026-06-17",21.0414390563965
"52","Bezirk Laufenburg",1906,"2026-06-18",22.7617321014404
"53","Bezirk Laufenburg",1906,"2026-06-19",25.118688583374
"54","Bezirk Laufenburg",1906,"2026-06-20",23.3325538635254
"55","Bezirk Laufenburg",1906,"2026-06-21",25.5556583404541
"56","Bezirk Rheinfelden",1909,"2026-06-17",21.4748878479004
"57","Bezirk Rheinfelden",1909,"2026-06-18",23.0743637084961
"58","Bezirk Rheinfelden",1909,"2026-06-19",25.2907657623291
"59","Bezirk Rheinfelden",1909,"2026-06-20",24.1831588745117
"60","Bezirk Rheinfelden",1909,"2026-06-21",26.5685424804688
"61","Bezirk Winterthur",110,"2026-06-17",20.507661819458
"62","Bezirk Winterthur",110,"2026-06-18",22.3971996307373
"63","Bezirk Winterthur",110,"2026-06-19",24.4223346710205
"64","Bezirk Winterthur",110,"2026-06-20",22.9605598449707
"65","Bezirk Winterthur",110,"2026-06-21",23.7619361877441
"66","Bezirk Höfe",503,"2026-06-17",21.072135925293
"67","Bezirk Höfe",503,"2026-06-18",23.213285446167
"68","Bezirk Höfe",503,"2026-06-19",24.7629337310791
"69","Bezirk Höfe",503,"2026-06-20",23.714334487915
"70","Bezirk Höfe",503,"2026-06-21",24.5768775939941
"71","Bezirk Visp",2313,"2026-06-17",12.0467748641968
"72","Bezirk Visp",2313,"2026-06-18",13.8900699615479
"73","Bezirk Visp",2313,"2026-06-19",15.5964136123657
"74","Bezirk Visp",2313,"2026-06-20",14.1571025848389
"75","Bezirk Visp",2313,"2026-06-21",15.5099353790283
"76","Kanton Zug",900,"2026-06-17",20.8824157714844
"77","Kanton Zug",900,"2026-06-18",22.9010028839111
"78","Kanton Zug",900,"2026-06-19",24.834077835083
"79","Kanton Zug",900,"2026-06-20",23.7397651672363
"80","Kanton Zug",900,"2026-06-21",25.1413898468018
"81","Bezirk Thierstein",1110,"2026-06-17",20.6738510131836
"82","Bezirk Thierstein",1110,"2026-06-18",22.4541320800781
"83","Bezirk Thierstein",1110,"2026-06-19",24.285774230957
"84","Bezirk Thierstein",1110,"2026-06-20",23.4794082641602
"85","Bezirk Thierstein",1110,"2026-06-21",25.3769950866699
"86","Bezirk Meilen",107,"2026-06-17",21.8018627166748
"87","Bezirk Meilen",107,"2026-06-18",24.0135974884033
"88","Bezirk Meilen",107,"2026-06-19",25.8416271209717
"89","Bezirk Meilen",107,"2026-06-20",24.6358242034912
"90","Bezirk Meilen",107,"2026-06-21",25.9251136779785
"91","Bezirk Raron",2309,"2026-06-17",14.3486795425415
"92","Bezirk Raron",2309,"2026-06-18",16.2794723510742
"93","Bezirk Raron",2309,"2026-06-19",17.9273948669434
"94","Bezirk Raron",2309,"2026-06-20",16.3893623352051
"95","Bezirk Raron",2309,"2026-06-21",17.4129734039307
"96","Bezirk Zofingen",1910,"2026-06-17",20.5260810852051
"97","Bezirk Zofingen",1910,"2026-06-18",22.9181327819824
"98","Bezirk Zofingen",1910,"2026-06-19",24.9915828704834
"99","Bezirk Zofingen",1910,"2026-06-20",22.4387454986572
"100","Bezirk Zofingen",1910,"2026-06-21",24.1343593597412
"101","Bezirk Gösgen",1105,"2026-06-17",20.4395122528076
"102","Bezirk Gösgen",1105,"2026-06-18",22.7422256469727
"103","Bezirk Gösgen",1105,"2026-06-19",24.8751239776611
"104","Bezirk Gösgen",1105,"2026-06-20",22.5537910461426
"105","Bezirk Gösgen",1105,"2026-06-21",24.6417446136475
"106","Bezirk Dorneck",1104,"2026-06-17",21.884069442749
"107","Bezirk Dorneck",1104,"2026-06-18",23.4179058074951
"108","Bezirk Dorneck",1104,"2026-06-19",25.3237953186035
"109","Bezirk Dorneck",1104,"2026-06-20",24.5042476654053
"110","Bezirk Dorneck",1104,"2026-06-21",26.4254150390625
"111","Kanton Nidwalden",700,"2026-06-17",19.7303237915039
"112","Kanton Nidwalden",700,"2026-06-18",21.9161930084229
"113","Kanton Nidwalden",700,"2026-06-19",23.5123672485352
"114","Kanton Nidwalden",700,"2026-06-20",22.2835254669189
"115","Kanton Nidwalden",700,"2026-06-21",23.7779674530029
"116","Bezirk Vorderland",1503,"2026-06-17",19.2422943115234
"117","Bezirk Vorderland",1503,"2026-06-18",21.142692565918
"118","Bezirk Vorderland",1503,"2026-06-19",23.3960819244385
"119","Bezirk Vorderland",1503,"2026-06-20",22.7587451934814
"120","Bezirk Vorderland",1503,"2026-06-21",24.0646915435791
"121","Bezirk Brugg",1904,"2026-06-17",20.6378059387207
"122","Bezirk Brugg",1904,"2026-06-18",22.4959697723389
"123","Bezirk Brugg",1904,"2026-06-19",24.913948059082
"124","Bezirk Brugg",1904,"2026-06-20",23.0245761871338
"125","Bezirk Brugg",1904,"2026-06-21",25.0340137481689
"126","Kanton Uri",400,"2026-06-17",15.5005235671997
"127","Kanton Uri",400,"2026-06-18",17.5556907653809
"128","Kanton Uri",400,"2026-06-19",19.6752624511719
"129","Kanton Uri",400,"2026-06-20",19.4620552062988
"130","Kanton Uri",400,"2026-06-21",20.4932670593262
"131","Bezirk Andelfingen",102,"2026-06-17",20.049783706665
"132","Bezirk Andelfingen",102,"2026-06-18",22.1351165771484
"133","Bezirk Andelfingen",102,"2026-06-19",24.5027389526367
"134","Bezirk Andelfingen",102,"2026-06-20",22.8011283874512
"135","Bezirk Andelfingen",102,"2026-06-21",23.9492568969727
"136","Bezirk Uster",109,"2026-06-17",21.7994956970215
"137","Bezirk Uster",109,"2026-06-18",23.6146106719971
"138","Bezirk Uster",109,"2026-06-19",25.7224216461182
"139","Bezirk Uster",109,"2026-06-20",24.3450622558594
"140","Bezirk Uster",109,"2026-06-21",25.3149967193604
"141","Bezirk March",505,"2026-06-17",20.1041011810303
"142","Bezirk March",505,"2026-06-18",22.1445636749268
"143","Bezirk March",505,"2026-06-19",24.1613006591797
"144","Bezirk March",505,"2026-06-20",23.4672718048096
"145","Bezirk March",505,"2026-06-21",24.6396923065186
"146","District de la Gruyère",1003,"2026-06-17",18.9911441802979
"147","District de la Gruyère",1003,"2026-06-18",21.5271549224854
