"","BEZNAME","BEZNR","time","warning_level"
"1","Bezirk Affoltern",101,"2026-06-17","0"
"2","Bezirk Affoltern",101,"2026-06-18","1"
"3","Bezirk Affoltern",101,"2026-06-19","3"
"4","Bezirk Affoltern",101,"2026-06-20","2"
"5","Bezirk Affoltern",101,"2026-06-21","3"
"6","Bezirk Andelfingen",102,"2026-06-17","0"
"7","Bezirk Andelfingen",102,"2026-06-18","0"
"8","Bezirk Andelfingen",102,"2026-06-19","2"
"9","Bezirk Andelfingen",102,"2026-06-20","1"
"10","Bezirk Andelfingen",102,"2026-06-21","1"
"11","Bezirk Bülach",103,"2026-06-17","0"
"12","Bezirk Bülach",103,"2026-06-18","1"
"13","Bezirk Bülach",103,"2026-06-19","3"
"14","Bezirk Bülach",103,"2026-06-20","1"
"15","Bezirk Bülach",103,"2026-06-21","2"
"16","Bezirk Dielsdorf",104,"2026-06-17","0"
"17","Bezirk Dielsdorf",104,"2026-06-18","1"
"18","Bezirk Dielsdorf",104,"2026-06-19","3"
"19","Bezirk Dielsdorf",104,"2026-06-20","1"
"20","Bezirk Dielsdorf",104,"2026-06-21","2"
"21","Bezirk Hinwil",105,"2026-06-17","0"
"22","Bezirk Hinwil",105,"2026-06-18","1"
"23","Bezirk Hinwil",105,"2026-06-19","3"
"24","Bezirk Hinwil",105,"2026-06-20","2"
"25","Bezirk Hinwil",105,"2026-06-21","3"
"26","Bezirk Horgen",106,"2026-06-17","0"
"27","Bezirk Horgen",106,"2026-06-18","1"
"28","Bezirk Horgen",106,"2026-06-19","3"
"29","Bezirk Horgen",106,"2026-06-20","2"
"30","Bezirk Horgen",106,"2026-06-21","3"
"31","Bezirk Meilen",107,"2026-06-17","0"
"32","Bezirk Meilen",107,"2026-06-18","2"
"33","Bezirk Meilen",107,"2026-06-19","3"
"34","Bezirk Meilen",107,"2026-06-20","2"
"35","Bezirk Meilen",107,"2026-06-21","3"
"36","Bezirk Pfäffikon",108,"2026-06-17","0"
"37","Bezirk Pfäffikon",108,"2026-06-18","1"
"38","Bezirk Pfäffikon",108,"2026-06-19","3"
"39","Bezirk Pfäffikon",108,"2026-06-20","1"
